Fecha;Cartera;Moneda_retorno;Rentabilidad_1D
22-09-19;FONDO;CLP;0,000%
22-09-19;BENCHMARK;CLP;0,000%
23-09-19;FONDO;CLP;0,094%
23-09-19;BENCHMARK;CLP;-0,941%
24-09-19;FONDO;CLP;-0,425%
24-09-19;BENCHMARK;CLP;-0,489%
25-09-19;BENCHMARK;CLP;0,112%
25-09-19;FONDO;CLP;-0,333%
26-09-19;BENCHMARK;CLP;0,398%
26-09-19;FONDO;CLP;0,627%
27-09-19;BENCHMARK;CLP;1,461%
27-09-19;FONDO;CLP;2,321%
28-09-19;BENCHMARK;CLP;0,000%
28-09-19;FONDO;CLP;0,000%
29-09-19;FONDO;CLP;0,000%
29-09-19;BENCHMARK;CLP;0,000%
30-09-19;FONDO;CLP;-1,110%
30-09-19;BENCHMARK;CLP;-0,796%
