Fecha;Cartera;Instrumento;Peso
09-01-19;FONDO;Caja CLP;0,98%
09-01-19;FONDO;CAP;0,43%
09-01-19;FONDO;CCU;1,17%
09-01-19;FONDO;CENCOSUD;2,75%
09-01-19;FONDO;CFILVSCC-L;8,11%
09-01-19;FONDO;CHILE;0,26%
09-01-19;FONDO;CMPC;6,58%
09-01-19;FONDO;COLBUN;0,48%
09-01-19;FONDO;COPEC;5,40%
09-01-19;FONDO;ECL;3,06%
09-01-19;FONDO;ENELAM;9,63%
09-01-19;FONDO;ENELCHILE;4,39%
09-01-19;FONDO;ENTEL;0,95%
09-01-19;FONDO;FALABELLA;4,84%
09-01-19;FONDO;HITES;0,36%
09-01-19;FONDO;IAM;2,03%
09-01-19;FONDO;ILC;2,21%
09-01-19;FONDO;ITAUCORP;5,13%
09-01-19;FONDO;LTM;7,35%
09-01-19;FONDO;MALLPLAZA;1,16%
09-01-19;FONDO;NORTEGRAN;0,67%
09-01-19;FONDO;PARAUCO;0,59%
09-01-19;FONDO;RIPLEY;0,93%
09-01-19;FONDO;SALFACORP;0,96%
09-01-19;FONDO;SK;0,44%
09-01-19;FONDO;SM-CHILE B;3,34%
09-01-19;FONDO;SMU;1,00%
09-01-19;FONDO;SONDA;0,80%
09-01-19;FONDO;SQM-B;6,98%
09-01-19;BENCHMARK;AESGENER;1,27%
09-01-19;BENCHMARK;AGUAS-A;2,50%
09-01-19;BENCHMARK;ANDINA-B;1,21%
09-01-19;BENCHMARK;BCI;5,27%
09-01-19;BENCHMARK;BSANTANDER;7,50%
09-01-19;BENCHMARK;CAP;1,12%
09-01-19;BENCHMARK;CCU;3,07%
09-01-19;BENCHMARK;CENCOSUD;4,34%
09-01-19;BENCHMARK;CHILE;6,93%
09-01-19;BENCHMARK;CMPC;5,65%
09-01-19;BENCHMARK;COLBUN;2,32%
09-01-19;BENCHMARK;CONCHATORO;1,48%
09-01-19;BENCHMARK;COPEC;7,26%
09-01-19;BENCHMARK;ECL;1,48%
09-01-19;BENCHMARK;ENELAM;8,38%
